Data;País;Status;IQA;
13/04/2023;Venezuela;Bom;46;
13/04/2023;Vietnam;Insalubre para grupos sensíveis;134;
13/04/2023;Zambia;Bom;39;
20/04/2023;Albania;Bom;19;
20/04/2023;Algeria;Moderado;53;
20/04/2023;Andorra;Bom;30;
20/04/2023;Angola;Moderado;71;
20/04/2023;Argentina;Bom;50;
20/04/2023;Armenia;Bom;27;
20/04/2023;Australia;Bom;32;
20/04/2023;Austria;Moderado;60;
20/04/2023;Azerbaijan;Bom;43;
20/04/2023;Bahrain;Imsalubre;153;
20/04/2023;Bangladesh;Insalubre;163;
20/04/2023;Belarus;Moderado;68;
20/04/2023;Belgium;Moderado;51;
20/04/2023;Belize;Bom;12;
20/04/2023;Bermuda;Bom;12;
20/04/2023;Bolivia;Bom;4;
20/04/2023;Bosnia and Herzegovina;Moderado;69;
20/04/2023;Brazil;Moderado;55;
20/04/2023;Brunei;Bom;14;
20/04/2023;Bulgaria;Bom;19;
20/04/2023;Burkina Faso;Perigoso;309;
20/04/2023;Cambodia;Moderado;84;
20/04/2023;Canada;Bom;37;
20/04/2023;Cape Verde;Bom;13;
20/04/2023;Cayman Islands;Bom;26;
20/04/2023;Central African Republic;Insalubre;191;
20/04/2023;Chad;Perigoso;420;
20/04/2023;Chile;Insalubre para grupos sensíveis;134;
20/04/2023;China;Perigoso;963;
20/04/2023;Colombia;Moderado;76;
20/04/2023;Costa Rica;Bom;41;
20/04/2023;Croatia;Bom;49;
20/04/2023;Cyprus;Bom;41;
20/04/2023;Czech Republic;Moderado;88;
20/04/2023;Denmark;Bom;30;
20/04/2023;Dominican Republic;Bom;34;
20/04/2023;Ecuador;Bom;48;
20/04/2023;Egypt;Bom;46;
20/04/2023;El Salvador;Insalubre para grupos sensíveis;131;
20/04/2023;Estonia;Bom;26;
20/04/2023;Ethiopia;Insalubre para grupos sensíveis;104;
20/04/2023;Finland;Moderado;91;
20/04/2023;France;Moderado;57;
20/04/2023;French Guiana;Bom;23;
20/04/2023;Gabon;Insalubre para grupos sensíveis;130;
20/04/2023;Georgia;Moderado;72;
20/04/2023;Germany;Moderado;70;
20/04/2023;Ghana;Insalubre para grupos sensíveis;103;
20/04/2023;Gibraltar;Bom;39;
20/04/2023;Greece;Bom;45;
20/04/2023;Grenada;Bom;17;
20/04/2023;Guadeloupe;Bom;22;
20/04/2023;Guam;Bom;15;
20/04/2023;Guatemala;Insalubre para grupos sensíveis;125;
20/04/2023;Honduras;Insalubre;178;
20/04/2023;Hong Kong;Moderado;76;
20/04/2023;Iceland;Bom;28;
20/04/2023;India;Muito insalubre;235;
20/04/2023;Indonesia;Moderado;68;
20/04/2023;Iran;Insalubre para grupos sensíveis;120;
20/04/2023;Iraq;Insalubre;154;
20/04/2023;Ireland;Moderado;62;
20/04/2023;Israel;Moderado;88;
20/04/2023;Italy;Moderado;61;
20/04/2023;Ivory Coast;Insalubre para grupos sensíveis;104;
20/04/2023;Japan;Insalubre para grupos sensíveis;131;
20/04/2023;Jersey;Insalubre para grupos sensíveis;105;
20/04/2023;Jordan;Bom;33;
20/04/2023;Kazakhstan;Moderado;90;
20/04/2023;Kenya;Moderado;53;
20/04/2023;Kosovo;Moderado;52;
20/04/2023;Kuwait;Insalubre para grupos sensíveis;121;
20/04/2023;Kyrgyzstan;Moderado;88;
20/04/2023;Laos;Insalubre;169;
20/04/2023;Latvia;Bom;34;
20/04/2023;Lebanon;Moderado;91;
20/04/2023;Liberia;Moderado;79;
20/04/2023;Liechtenstein;Bom;10;
20/04/2023;Lithuania;Bom;32;
20/04/2023;Luxembourg;Bom;42;
20/04/2023;Macao;Insalubre para grupos sensíveis;144;
20/04/2023;Macedonia;Moderado;57;
20/04/2023;Madagascar;Bom;48;
20/04/2023;Malaysia;Moderado;87;
20/04/2023;Malta;Bom;35;
20/04/2023;Martinique;Bom;38;
20/04/2023;Mexico;Insalubre para grupos sensíveis;131;
20/04/2023;Moldova;Bom;26;
20/04/2023;Monaco;Bom;34;
20/04/2023;Mongolia;Moderado;68;
20/04/2023;Montenegro;Bom;50;
20/04/2023;Myanmar;Insalubre;175;
20/04/2023;Nepal;Insalubre;172;
20/04/2023;Netherlands;Bom;34;
